timestamp,batteryvoltage,sochighlevel,energyconsumptionaverage,electricremaining,mileage,speed_kmh,acceleration_kmh2
2025-03-01 00:02:11.002,0.37593984962406024,1.0,0.9814323607427058,0.7557251908396946,0.0,0.0,0.6694452819598754
2025-03-01 00:12:11.301,0.37593984962406024,1.0,0.9814323607427058,0.7557251908396946,0.0,0.0,0.6694452819598754
2025-03-01 00:22:11.578,0.37593984962406024,1.0,0.9814323607427058,0.7557251908396946,0.0,0.0,0.6694452819598754
2025-03-01 00:32:11.787,0.37593984962406024,1.0,0.9814323607427058,0.7557251908396946,0.0,0.0,0.6694452819598754
2025-03-01 00:42:11.999,0.37593984962406024,1.0,0.9814323607427058,0.7557251908396946,0.0,0.0,0.6694452819598754
2025-03-01 00:52:12.262,0.37593984962406024,1.0,0.9814323607427058,0.7557251908396946,0.0,0.0,0.6694452819598754
2025-03-01 01:02:12.497,0.37593984962406024,1.0,0.9814323607427058,0.7557251908396946,0.0,0.0,0.6694452819598754
2025-03-01 01:12:12.714,0.37593984962406024,1.0,0.9814323607427058,0.7557251908396946,0.0,0.0,0.6694452819598754
2025-03-01 01:22:12.907,0.37593984962406024,1.0,0.9814323607427058,0.7557251908396946,0.0,0.0,0.6694452819598754
2025-03-01 01:32:13.098,0.37593984962406024,1.0,0.9814323607427058,0.7557251908396946,0.0,0.0,0.6694452819598754
2025-03-01 01:42:13.300,0.37593984962406024,1.0,0.9814323607427058,0.7557251908396946,0.0,0.0,0.6694452819598754
2025-03-01 01:52:13.561,0.37593984962406024,1.0,0.9814323607427058,0.7557251908396946,0.0,0.0,0.6694452819598754
2025-03-01 02:02:13.767,0.37593984962406024,1.0,0.9814323607427058,0.7557251908396946,0.0,0.0,0.6694452819598754
2025-03-01 02:12:14.003,0.37593984962406024,1.0,0.9814323607427058,0.7557251908396946,0.0,0.0,0.6694452819598754
2025-03-01 02:22:14.217,0.37593984962406024,1.0,0.9814323607427058,0.7557251908396946,0.0,0.0,0.6694452819598754
2025-03-01 02:32:14.430,0.37593984962406024,1.0,0.9814323607427058,0.7557251908396946,0.0,0.0,0.6694452819598754
2025-03-01 02:42:14.626,0.37593984962406024,1.0,0.9814323607427058,0.7557251908396946,0.0,0.0,0.6694452819598754
2025-03-01 02:52:14.841,0.37593984962406024,1.0,0.9814323607427058,0.7557251908396946,0.0,0.0,0.6694452819598754
2025-03-01 03:02:15.084,0.37593984962406024,1.0,0.9814323607427058,0.7557251908396946,0.0,0.0,0.6694452819598754
2025-03-01 03:12:15.303,0.37593984962406024,1.0,0.9814323607427058,0.7557251908396946,0.0,0.0,0.6694452819598754
2025-03-01 03:22:15.540,0.37593984962406024,1.0,0.9814323607427058,0.7557251908396946,0.0,0.0,0.6694452819598754
